file,ref,name
./data/work-in-progress/45_15/kasten_blau_45_15_0306.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0309.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0311.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0314.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0315.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0319.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0321.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0322.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0328.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0332.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0333.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0335.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0339.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0342.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0345.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0348.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0349.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0351.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0354.xml,#emt_place_id__31,Laxenburg
./data/work-in-progress/45_15/kasten_blau_45_15_0356.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0359.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0360.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0363.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0366.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0369.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0370.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0373.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0375.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0379.xml,#,Korneuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0382.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0386.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0388.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0391.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0394.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0398.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0402.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0404.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0407.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0408.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0411.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0414.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0417.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0419.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0422.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0425.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0428.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0429.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0430.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0431.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0433.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0435.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0437.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0439.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0441.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0442.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0445.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0447.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0449.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0451.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0453.xml,#,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0455.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0458.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0460.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0468.xml,#,Kloster Schöntal
./data/work-in-progress/45_15/kasten_blau_45_15_0469.xml,#,Kloster Schöntal
./data/work-in-progress/45_15/kasten_blau_45_15_0472.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0473.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0476.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0479.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0482.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0484.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0488.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0489.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0491.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0493.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0497.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0500.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0501.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0505.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0506.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0508.xml,#emt_place_id__63,Wien
